Group,Meeting / Event,Dates,Time,Room,Exclusions,Reservation Confirmation / Notes
TVKCC Liturgy,,,,,,
TVKCC,TVKCC Sunday Block,Every Sun,7 AM - 1:00PM,"Church
Chapel
Cry Room
Room A
Room B
Vestibule
Kitchen",,
TVKCC,Korean Mass,Every Sunday,9:30 AM - 10:30 AM,Church,,
TVKCC,English Mass,Every Sunday,11:00 AM - 12:00 PM,Church,,
TVKCC,Daily Mass,"Every Tue, Thr, Fri",9:30 AM - 11 AM,Chapel,1/1/2027,
TVKCC,Weekday Evening Mass,"7/1/2026, 8/5/2026, 9/2/2026, 10/7/2026, 11/4/2026, 12/2/2026
1/6/2027, 2/3/2027, 3/3/2027, 4/7/2027, 5/5/2027, 6/2/2027",6:30 PM - 8:30 PM,Chapel,,
TVKCC,Marian Devotion Mass,"9/5/2026, 10/3/2026, 11/14/2026, 12/5/2026
2/6/2027, 3/6/2027, 4/10/2027, 6/5/2027",9 am - 10:30 am,Chapel,,
TVKCC,Assumption of Mary Mass,8/15/2026 (Sat),9:30 AM - 11 AM,Chapel,,
TVKCC,TVKCC Day,9/20/2026 (Sun),8 AM - 5 PM,"JP2
Parking Lot",,
TVKCC,Advent Sacrament of Reconciliation,12/16/2026 (Wed),6 PM - 8 PM,"Chapel
Cry Room",,
TVKCC,Nativity of the Lord Night Mass,12/24/2026 (Thr),7 PM - 10 PM,Church,,
TVKCC,Christmas - Reception,12/24/2026 (Thr),2 PM - 11:55 PM,JP2,,
TVKCC,Nativity of the Lord Mass,12/25/2026 (Fri),8 AM - 10:30 AM,Church,,
TVKCC,New Year's Eve Mass,12/31/2026 (Thr),8 PM - 9 PM,Chapel,,
TVKCC,"Solemnity of Mary, the Holy Mother of God Mass",1/1/2027 (Fri),9:30 AM - 11:30 AM,Chapel,,
TVKCC,Ash Wednesday Mass,2/10/2027 (Wed),9:30 AM - 11 AM,Chapel,,
TVKCC,Lent Stations of the Crosss,"2/12, 2/19, 2/26, 3/5, 3/12, 3/19",7:00 PM - 9:00 PM,Church,,
TVKCC,Lent Sacrament of Reconciliation,3/10/2027 (Wed),7 PM - 9 PM,"Chapel
Cry Room",,
TVKCC,Triduum - Holy Thursday Prep,3/24/2027 (Wed),3:00 PM - 5:00 PM,Chapel,,
TVKCC,Triduum - Holy Thursday Mass,3/25/2027 (Thr),7:00 PM - 10:00 PM,Church,,
TVKCC,Triduum - Eucharistic Adoration,3/25/2027 (Thr) - 3/26/2027 (Fri),9:00 PM - 7:00 AM,Chapel,,
TVKCC,Triduum - Holy Friday Stations of the Cross,3/26/2027 (Fri),3:00 PM - 4:00 PM,Church,,
TVKCC,Triduum - Holy Friday Liturgy,3/26/2027 (Fri),8:00 PM - 9:00 PM,Church,,
TVKCC,Triduum - Easter Vigil,3/27/2027 (Sat),7:00 PM - 10:00 PM,Church,,
TVKCC,Triduum - Easter Mass,3/27/2027 (Sat),2 PM - 11:55 PM,JP2,,
TVKCC,Confirmation Class,"8/2/2026, 8/16/2026, 8/30/2026, 9/6/2026",2 PM - 4 PM,"Chapel, Church, Room A, Room B, Cry Room",,
TVKCC,Confirmation Rehearsal,9/20/2026 (Sun),12:30 PM - 2 PM,Church,,
TVKCC,Sacrament of Confirmation & Reception,9/27/2026 (Sun),8 AM - 2 PM,"Church, Chapel, Room A, Room B, Cry Room",,
TVKCC Community Events / Meetings,,,,,,
Altar Servers,Year End Party,11/28/2026 (Sat),6pm - 9pm,JP2,,
Altar Servers,Monthly Meeting,Every 3rd Sunday,12:00 PM - 1:00 PM,"Room A
Room B",,
Basic Christian Faith Community,Monthly Leaders Meeting,Every 1st Sunday,11am - 12pm,Room A,,
Basic Christian Faith Community,Matthew #1/2,Every 3rd Friday,7:30 PM - 9:30 PM,Room A,,
Basic Christian Faith Community,Matthew #3,Every 1st Saturday,4:30 PM - 6:30 PM,Room A,,
Basic Christian Faith Community,Matthew #4,Every 2nd Saturday,4:00 PM - 6:00 PM,Room A,,
Basic Christian Faith Community,Matthew #5,Every 4th Saturday,8:00 PM - 10:00 PM,Room A,,
Basic Christian Faith Community,Luke #1,Every 3rd Tuesday,10:30 AM - 12:30 PM,Cry Room,,
Basic Christian Faith Community,Luke #2,Every 2nd Sunday,12:30 PM - 2:00 PM,Room A,3/14/2027,
Basic Christian Faith Community,Luke #3,Every 3rd Sunday,3:00 PM - 5:00 PM,Room A,8/16/2026 (Confirmation) ,
Basic Christian Faith Community,Luke #7,Every 3rd Saturday,12:00 PM - 3:00 PM,Room A,,
Bible Study,Full Bible Reading,Every Thursday,10:30am -1pm,Room B,,
Charismatic Renewal Prayer,Group Meeting,"Every 1st, 3rd & 4th Sunday",1 pm - 3 pm,Cry Room,"8/2/2026 (Confirmation), 8/16/2026 (Confirmation), 9/6/2026 (Confirmation), 9/27/2026 (Confirmation)",
Choir,Weekly Practice,Every Sunday,11:00 AM - 1:00 PM,Chapel,"3/14/2027, 9/27/2026 (Confirmation)",
Choir,Weekly Practice,3/14/2027 (Sun),11:00 AM - 12:30 PM,Room A,,
Joakim & Anna Group,Monthly Meeting,1/24/2027 (Sun),11am - 2:30pm,Room A,,
Joakim & Anna Group,Monthly Meeting,"3/21/2027, 5/23/2027, 7/25/2027",11:00 AM - 2:30 PM,JP2,,
Legion of Mary,Mother of Divine Grace Pr.,Every Tuesday,10:30am -1pm,Room B,,
Legion of Mary,Mother of Christ Pr.,Every Thursday,10:00 AM - 12:00 PM,Room A,,
Legion of Mary,Queen of Angels Pr.,Every Tuesday,10:30am-12:30pm,Room A,,
Legion of Mary,Mother of All People Pr.,Every Sunday,10:45 AM - 11:30 AM,Room B,9/27/2026,
Legion of Mary,Queen of Mercy Pr.,Every Friday,10 AM - 12 PM,Room B,,
Legion of Mary,Curia Monthly Meetings,Every 2nd Sunday,10:45 AM - 12:30 PM,Room A,3/14/2027,
Legion of Mary,Year End Meeting,12/6/2026 (Sun),10:45 AM - 2:00 PM,JP2,,
Legion of Mary,Acies,3/14/2027 (Sun),10:45 AM - 1:00 PM,Chapel,,
Legion of Mary,Acies,3/14/2027 (Sun),12:30 PM - 1:30 PM,Room A,,
Leticia,Practice & Bible Reading,Every Friday,10:00 AM - 12:00 PM,Room A,,
Pastoral Council,Monthly Meeting,Every 1st Sunday,12pm - 2pm,Room A,,
St. Mary Group,Bi-annual Meeting (2nd half),11/22/2026 (Sun),10:45 AM - 11:30 AM,Room A,,
St. Mary Group,Advent Wreath Crafting,11/28/2026 (Sat),5:00 PM - 7:00 PM,Room A,,
St. Mary Group,Bi-annual Meeting (1st half),4/25/2027 (Sun),10:45 AM - 11:30 AM,Room A,,
St. Mary Group,Father’s Day,6/20/2027 (Sun),10:30 AM - 12:00 PM,JP2,,
TVCS,Weekly Meeting,Every Sunday,12 pm - 1 pm,Cry Room,9/27/2026 (Confirmation),
TVKCC Band,Weekly Practice,Every Sunday (8/9 - 12/31/2026),1 PM - 2 PM,Chapel,9/27/2026 (Confirmation),
TVKCC Band,TVKCC Men's Choir Annual Concert,10/3/2026 (Sat),5 PM - 7:30 PM,Church,,
Ultreya,Monthly Meeting,Every 3rd Sunday,11am - 12pm,Room A,,
Ultreya,Salus Team Meeting,Every Thursday,7:30 PM - 9:00 PM,Cry Room,,
Ultreya,Ultreya Officers Meeting,Every 2nd Sunday,3pm - 5pm,Room A,,
Ultreya,Year-end Party,12/19/2026 (Sat),5 PM - 9 PM,JP2,,
Sunday School,Sunday Classes,Every Sunday,8 AM - 10:30 AM,JP2,9/20/2026,
Sunday School,TVKCC Sat Sports Event,Every Saturday,5 PM - 9 PM,JP2,"11/28/2026, 12/19/2026, 3/27/2027",
Secular Franciscan Order,Monthly Meeting,Every 2nd Sunday,1 PM - 4 PM,Room B,,
Sunday School,TVKCC Youth Day,3/28/2027 (Sun),10:30 AM - 3 PM,JP2,,
Sunday School,Kick Off Event,8/1/2026 (Sat),4 PM - 8 PM,JP2,,
Bible Study,English Genesis,9/8/2026 (Tue),7 PM - 9 PM,Room B,,
